"id","name","type","date_established","acreage","detail_page_url"
"acadia","Acadia","park","1919-02-26T06:00:00.000Z",49057.36,"https://en.wikipedia.org/wiki/Acadia_National_Park"
"american-samoa","American Samoa","park","1988-10-31T06:00:00.000Z",8256.67,"https://en.wikipedia.org/wiki/National_Park_of_American_Samoa"
"arches","Arches","park","1971-11-12T06:00:00.000Z",76678.98,"https://en.wikipedia.org/wiki/Arches_National_Park"
"badlands","Badlands","park","1978-11-10T06:00:00.000Z",242755.94,"https://en.wikipedia.org/wiki/Badlands_National_Park"
"big-bend","Big Bend","park","1944-06-12T05:00:00.000Z",801163.21,"https://en.wikipedia.org/wiki/Big_Bend_National_Park"
"biscayne","Biscayne","park","1980-06-28T05:00:00.000Z",172971.11,"https://en.wikipedia.org/wiki/Biscayne_National_Park"
"black-canyon-of-the-gunnison","Black Canyon of the Gunnison","park","1999-10-21T05:00:00.000Z",30749.75,"https://en.wikipedia.org/wiki/Black_Canyon_of_the_Gunnison_National_Park"
"bryce-canyon","Bryce Canyon","park","1928-02-25T06:00:00.000Z",35835.08,"https://en.wikipedia.org/wiki/Bryce_Canyon_National_Park"
"canyonlands","Canyonlands","park","1964-09-12T05:00:00.000Z",337597.83,"https://en.wikipedia.org/wiki/Canyonlands_National_Park"
"capitol-reef","Capitol Reef","park","1971-12-18T06:00:00.000Z",241904.26,"https://en.wikipedia.org/wiki/Capitol_Reef_National_Park"
"carlsbad-caverns","Carlsbad Caverns","park","1930-05-14T05:00:00.000Z",46766.45,"https://en.wikipedia.org/wiki/Carlsbad_Caverns_National_Park"
"channel-islands","Channel Islands","park","1980-03-05T06:00:00.000Z",249561,"https://en.wikipedia.org/wiki/Channel_Islands_National_Park"
"congaree","Congaree","park","2003-11-10T06:00:00.000Z",26275.82,"https://en.wikipedia.org/wiki/Congaree_National_Park"
"crater-lake","Crater Lake","park","1902-05-22T05:00:00.000Z",183224.05,"https://en.wikipedia.org/wiki/Crater_Lake_National_Park"
"cuyahoga-valley","Cuyahoga Valley","park","2000-10-11T05:00:00.000Z",32572.35,"https://en.wikipedia.org/wiki/Cuyahoga_Valley_National_Park"
"death-valley","Death Valley","park","1994-10-31T06:00:00.000Z",3373063.14,"https://en.wikipedia.org/wiki/Death_Valley_National_Park"
"denali","Denali","park","1917-02-26T06:00:00.000Z",4740911.16,"https://en.wikipedia.org/wiki/Denali_National_Park_and_Preserve"
"dry-tortugas","Dry Tortugas","park","1992-10-26T06:00:00.000Z",64701.22,"https://en.wikipedia.org/wiki/Dry_Tortugas_National_Park"
"everglades","Everglades","park","1934-05-30T05:00:00.000Z",1508968.1,"https://en.wikipedia.org/wiki/Everglades_National_Park"
"gates-of-the-arctic","Gates of the Arctic","park","1980-12-02T06:00:00.000Z",7523897.45,"https://en.wikipedia.org/wiki/Gates_of_the_Arctic_National_Park_and_Preserve"
"glacier","Glacier","park","1910-05-11T05:00:00.000Z",1013128.94,"https://en.wikipedia.org/wiki/Glacier_National_Park_(U.S.)"
"glacier-bay","Glacier Bay","park","1980-12-02T06:00:00.000Z",3223383.43,"https://en.wikipedia.org/wiki/Glacier_Bay_National_Park_and_Preserve"
"grand-canyon","Grand Canyon","park","1919-02-26T06:00:00.000Z",1201647.03,"https://en.wikipedia.org/wiki/Grand_Canyon_National_Park"
"grand-teton","Grand Teton","park","1929-02-26T06:00:00.000Z",310043.96,"https://en.wikipedia.org/wiki/Grand_Teton_National_Park"
"great-basin","Great Basin","park","1986-10-27T06:00:00.000Z",77180,"https://en.wikipedia.org/wiki/Great_Basin_National_Park"
"great-sand-dunes","Great Sand Dunes","park","2004-09-13T05:00:00.000Z",107341.87,"https://en.wikipedia.org/wiki/Great_Sand_Dunes_National_Park_and_Preserve"
"great-smoky-mountains","Great Smoky Mountains","park","1934-06-15T05:00:00.000Z",522426.88,"https://en.wikipedia.org/wiki/Great_Smoky_Mountains_National_Park"
"guadalupe-mountains","Guadalupe Mountains","park","1966-10-15T05:00:00.000Z",86367.1,"https://en.wikipedia.org/wiki/Guadalupe_Mountains_National_Park"
"haleakala","Haleakalā","park","1916-08-01T05:00:00.000Z",33264.62,"https://en.wikipedia.org/wiki/Haleakal%C4%81_National_Park"
"hawaiʻi-volcanoes","Hawaiʻi Volcanoes","park","1916-08-01T05:00:00.000Z",323431.38,"https://en.wikipedia.org/wiki/Hawai%CA%BBi_Volcanoes_National_Park"
"hot-springs","Hot Springs","park","1921-03-04T06:00:00.000Z",5549.1,"https://en.wikipedia.org/wiki/Hot_Springs_National_Park"
"isle-royale","Isle Royale","park","1940-04-03T05:00:00.000Z",571790.11,"https://en.wikipedia.org/wiki/Isle_Royale_National_Park"
"joshua-tree","Joshua Tree","park","1994-10-31T06:00:00.000Z",790635.74,"https://en.wikipedia.org/wiki/Joshua_Tree_National_Park"
