"name","type","id","date_established","detail_page_url","acreage"
"Acadia","park","acadia","1919-02-26T06:00:00.000Z","https://en.wikipedia.org/wiki/Acadia_National_Park",49075.26
"Arches","park","arches","1971-11-12T06:00:00.000Z","https://en.wikipedia.org/wiki/Arches_National_Park",76678.98
"Badlands","park","badlands","1978-11-10T06:00:00.000Z","https://en.wikipedia.org/wiki/Badlands_National_Park",242755.94
"Big Bend","park","bigbend","1944-06-12T05:00:00.000Z","https://en.wikipedia.org/wiki/Big_Bend_National_Park",801163.21
"Biscayne","park","biscayne","1980-06-28T05:00:00.000Z","https://en.wikipedia.org/wiki/Biscayne_National_Park",172971.11
"Black Canyon of the Gunnison","park","blackcanyonofthegunnison","1999-10-21T05:00:00.000Z","https://en.wikipedia.org/wiki/Black_Canyon_of_the_Gunnison_National_Park",30780.76
"Bryce Canyon","park","brycecanyon","1928-02-25T06:00:00.000Z","https://en.wikipedia.org/wiki/Bryce_Canyon_National_Park",35835.08
"Canyonlands","park","canyonlands","1964-09-12T05:00:00.000Z","https://en.wikipedia.org/wiki/Canyonlands_National_Park",337597.83
"Capitol Reef","park","capitolreef","1971-12-18T06:00:00.000Z","https://en.wikipedia.org/wiki/Capitol_Reef_National_Park",241904.5
"Carlsbad Caverns","park","carlsbadcaverns","1930-05-14T05:00:00.000Z","https://en.wikipedia.org/wiki/Carlsbad_Caverns_National_Park",46766.45
"Channel Islands","park","channelislands","1980-03-05T06:00:00.000Z","https://en.wikipedia.org/wiki/Channel_Islands_National_Park",249561
"Congaree","park","congaree","2003-11-10T06:00:00.000Z","https://en.wikipedia.org/wiki/Congaree_National_Park",26539.22
"Crater Lake","park","craterlake","1902-05-22T05:00:00.000Z","https://en.wikipedia.org/wiki/Crater_Lake_National_Park",183224.05
"Cuyahoga Valley","park","cuyahogavalley","2000-10-11T05:00:00.000Z","https://en.wikipedia.org/wiki/Cuyahoga_Valley_National_Park",32572.35
"Death Valley","park","deathvalley","1994-10-31T06:00:00.000Z","https://en.wikipedia.org/wiki/Death_Valley_National_Park",3373063.14
"Denali","park","denali","1917-02-26T06:00:00.000Z","https://en.wikipedia.org/wiki/Denali_National_Park_and_Preserve",4740911.16
"Dry Tortugas","park","drytortugas","1992-10-26T06:00:00.000Z","https://en.wikipedia.org/wiki/Dry_Tortugas_National_Park",64701.22
"Everglades","park","everglades","1934-05-30T05:00:00.000Z","https://en.wikipedia.org/wiki/Everglades_National_Park",1508934.25
"Gates of the Arctic","park","gatesofthearctic","1980-12-02T06:00:00.000Z","https://en.wikipedia.org/wiki/Gates_of_the_Arctic_National_Park_and_Preserve",7523897.45
"Glacier","park","glacier","1910-05-11T05:00:00.000Z","https://en.wikipedia.org/wiki/Glacier_National_Park_(U.S.)",1013125.99
"Glacier Bay","park","glacierbay","1980-12-02T06:00:00.000Z","https://en.wikipedia.org/wiki/Glacier_Bay_National_Park_and_Preserve",3223383.43
"Grand Canyon","park","grandcanyon","1919-02-26T06:00:00.000Z","https://en.wikipedia.org/wiki/Grand_Canyon_National_Park",1201647.03
"Grand Teton","park","grandteton","1929-02-26T06:00:00.000Z","https://en.wikipedia.org/wiki/Grand_Teton_National_Park",310044.22
"Great Basin","park","greatbasin","1986-10-27T06:00:00.000Z","https://en.wikipedia.org/wiki/Great_Basin_National_Park",77180
"Great Sand Dunes","park","greatsanddunes","2004-09-13T05:00:00.000Z","https://en.wikipedia.org/wiki/Great_Sand_Dunes_National_Park_and_Preserve",107341.87
